,,Run 1 values,,,Run 2 values,,,Run 3 values,,,Cumulative pTau results,,,,Cumulative total Tau results,,,,Cumulative pTau/total Tau results,,,
Well Contents,Average Cell Count,pTau,pTau2,pTau3,Total Tau,Total Tau2,Total Tau3,ptau/total Tau,ptau/total Tau2,ptau/total tau3,Average pTau,St Dev,pvalue,Z score,Average Total Tau,St Dev2,pvalue2,Z score3,Average pTau/total Tau,St Dev3,pvalue3,Z score2
CRK7 s1,210,0.91578,1.02723,0.78725,0.96081,0.81869,0.77324,0.95313,1.25472,1.01811,0.91009,0.12009,0.32416,-1.51918,0.85092,0.09785,0.11859,-0.33796,1.07532,0.15873,0.49751,-1.18216
CRK7 s2,277,0.84913,1.08026,0.95855,0.87032,0.78384,0.78771,0.97565,1.37816,1.21688,0.96264,0.11562,0.63205,-1.29546,0.81396,0.04885,0.02222,-0.63058,1.19023,0.20257,0.24537,-0.75831
CSK s1,33,1.27232,1.12004,0.83924,1.10626,1.23983,0.84948,1.15011,0.90338,0.98794,1.0772,0.2197,0.6047,-0.64769,1.06519,0.19839,0.62665,1.35859,1.01381,0.12538,0.86632,-1.44917
CSK s2,337,0.7502,1.52927,0.66913,0.69115,1.13871,0.97536,1.08544,1.34299,0.68603,0.98287,0.47493,0.95586,-0.91569,0.93507,0.22648,0.66872,0.32836,1.03815,0.33102,0.86022,-1.23597
CSNK1A1 s1,419,1.10976,1.07117,1.12368,0.85448,0.66084,0.52814,1.29876,1.62093,2.12763,1.10154,0.02721,0.0231,-0.88726,0.68115,0.16412,0.07811,-1.6821,1.68244,0.41785,0.10555,0.9767
CSNK1A1 s2,412,1.09663,0.95345,0,0.60043,0.64176,0,1.8264,1.48567,#DIV/0!,0.68336,0.59612,0.45469,-3.02605,0.6211,0.02923,0.10576,-2.15758,1.65603,0.24093,#DIV/0!,0.86725
CSNK1A1L s1,427,1.17896,0.63621,1.30375,0.85693,0.7498,0.94678,1.3758,0.84852,1.37704,1.03964,0.35491,0.86447,-0.67839,0.85117,0.09862,0.12047,-0.33597,1.20045,0.30478,0.3727,-0.6219
CSNK1A1L s2,415,1.23627,1.15993,0,0.7918,0.81329,0,1.56135,1.42623,#DIV/0!,0.79873,0.69278,0.66477,-1.7024,0.80254,0.0152,0.2244,-0.72097,1.49379,0.09555,#DIV/0!,0.79111
CSNK1D s1,431,1.11979,1.29592,1.1802,0.91676,0.76252,0.80011,1.22146,1.69954,1.47504,1.19864,0.0895,0.0615,-0.56582,0.82646,0.08043,0.06473,-0.53155,1.46534,0.23919,0.07791,-0.00009
CSNK1D s2,294,0.9959,1.08091,0,0.80394,0.87599,0,1.23877,1.23393,#DIV/0!,0.69227,0.60103,0.46874,-2.34497,0.83996,0.05094,0.25757,-0.42466,1.23635,0.00342,#DIV/0!,-0.33875
CSNK1E s1,420,1.13709,1.05906,1.29133,0.92174,0.73509,0.90875,1.23363,1.44073,1.421,1.16249,0.1182,0.14021,-0.46406,0.85519,0.10422,0.13784,-0.3041,1.36512,0.1143,0.03115,-0.21814
CSNK1E s2,380,1.29364,1.21116,0,0.78447,0.98394,0,1.64907,1.23093,#DIV/0!,0.83494,0.72425,0.73114,-2.36198,0.8842,0.14105,0.30499,-0.0744,1.44,0.29567,#DIV/0!,-0.0362
CSNK1G1 s1,355,1.27823,1.12289,1.37078,0.79576,0.92513,0.66816,1.6063,1.21376,2.05156,1.2573,0.12526,0.07072,-0.54218,0.79635,0.12849,0.11103,-0.76996,1.62387,0.41918,0.12327,0.53281
